HII_ID,RA_deg,DEC_deg,r_kpc,Z_Z94,Z_PP04,sigma,Source,OBJECT_ID
b15,184.73279,47.30519,1.44,9.03,8.80,0.05,B11,NGC4258::HII_b15::RA184.73279_DEC47.30519::ICRS2000
b16,184.73413,47.30311,1.49,8.86,8.63,0.05,B11,NGC4258::HII_b16::RA184.73413_DEC47.30311::ICRS2000
b17,184.73450,47.29611,2.88,8.92,8.69,0.05,B11,NGC4258::HII_b17::RA184.73450_DEC47.29611::ICRS2000
n12,184.74600,47.31554,4.01,8.98,8.75,0.06,new,NGC4258::HII_n12::RA184.74600_DEC47.31554::ICRS2000
b14,184.74383,47.31806,4.11,8.93,8.71,0.04,B11-new,NGC4258::HII_b14::RA184.74383_DEC47.31806::ICRS2000
n14,184.71637,47.31225,4.30,8.89,8.66,0.08,new,NGC4258::HII_n14::RA184.71637_DEC47.31225::ICRS2000
b13,184.70629,47.32233,5.42,8.93,8.70,0.04,B11-new,NGC4258::HII_b13::RA184.70629_DEC47.32233::ICRS2000
b12,184.74554,47.32517,6.09,8.82,8.60,0.05,B11,NGC4258::HII_b12::RA184.74554_DEC47.32517::ICRS2000
b6,184.71271,47.34814,6.48,8.98,8.76,0.05,B11,NGC4258::HII_b6::RA184.71271_DEC47.34814::ICRS2000
n3,184.72017,47.34598,6.67,8.92,8.69,0.08,new,NGC4258::HII_n3::RA184.72017_DEC47.34598::ICRS2000
b5,184.70579,47.35228,6.92,8.95,8.72,0.04,B11-new,NGC4258::HII_b5::RA184.70579_DEC47.35228::ICRS2000
b11,184.73904,47.33453,6.94,9.01,8.78,0.03,B11-new,NGC4258::HII_b11::RA184.73904_DEC47.33453::ICRS2000
b10,184.73562,47.33756,7.02,8.99,8.77,0.05,B11,NGC4258::HII_b10::RA184.73562_DEC47.33756::ICRS2000
b9,184.73308,47.34042,7.23,8.96,8.73,0.04,B11-new,NGC4258::HII_b9::RA184.73308_DEC47.34042::ICRS2000
b8,184.73000,47.34319,7.36,8.96,8.73,0.04,B11-new,NGC4258::HII_b8::RA184.73000_DEC47.34319::ICRS2000
b4,184.70217,47.35689,7.58,8.86,8.63,0.04,B11-new,NGC4258::HII_b4::RA184.70217_DEC47.35689::ICRS2000
b7,184.72554,47.34731,7.62,9.05,8.82,0.05,B11,NGC4258::HII_b7::RA184.72554_DEC47.34731::ICRS2000
b19,184.76483,47.25294,7.92,8.86,8.63,0.05,B11,NGC4258::HII_b19::RA184.76483_DEC47.25294::ICRS2000
b20,184.77158,47.25022,7.92,8.63,8.41,0.05,B11,NGC4258::HII_b20::RA184.77158_DEC47.25022::ICRS2000
b3,184.73204,47.36508,12.71,8.73,8.51,0.04,B11-new,NGC4258::HII_b3::RA184.73204_DEC47.36508::ICRS2000
n36,184.72037,47.37533,13.12,8.93,8.71,0.08,new,NGC4258::HII_n36::RA184.72037_DEC47.37533::ICRS2000
b2,184.73025,47.36931,13.37,8.78,8.56,0.05,B11,NGC4258::HII_b2::RA184.73025_DEC47.36931::ICRS2000
n2,184.66781,47.32883,13.38,9.03,8.80,0.06,new,NGC4258::HII_n2::RA184.66781_DEC47.32883::ICRS2000
b1,184.72213,47.37653,13.67,8.76,8.53,0.05,B11,NGC4258::HII_b1::RA184.72213_DEC47.37653::ICRS2000
b23,184.76254,47.22711,13.79,8.65,8.43,0.05,B11,NGC4258::HII_b23::RA184.76254_DEC47.22711::ICRS2000
n37,184.72482,47.37585,13.95,8.90,8.68,0.08,new,NGC4258::HII_n37::RA184.72482_DEC47.37585::ICRS2000
b21,184.74704,47.23744,13.97,8.87,8.64,0.05,B11,NGC4258::HII_b21::RA184.74704_DEC47.23744::ICRS2000
n33,184.79207,47.20681,14.70,8.77,8.54,0.08,new,NGC4258::HII_n33::RA184.79207_DEC47.20681::ICRS2000
b27,184.78179,47.21117,14.79,8.86,8.63,0.05,B11,NGC4258::HII_b27::RA184.78179_DEC47.21117::ICRS2000
b29,184.80558,47.20044,15.03,8.71,8.49,0.05,B11,NGC4258::HII_b29::RA184.80558_DEC47.20044::ICRS2000
b28,184.79075,47.20444,15.28,8.77,8.54,0.05,B11,NGC4258::HII_b28::RA184.79075_DEC47.20444::ICRS2000
n10,184.79571,47.20149,15.44,8.79,8.56,0.08,new,NGC4258::HII_n10::RA184.79571_DEC47.20149::ICRS2000
n32,184.79134,47.20305,15.50,8.95,8.73,0.08,new,NGC4258::HII_n32::RA184.79134_DEC47.20305::ICRS2000
n9,184.81600,47.19271,15.97,8.40,8.24,0.08,new,NGC4258::HII_n9::RA184.81600_DEC47.19271::ICRS2000
b31,184.80283,47.19433,16.29,8.65,8.43,0.05,B11,NGC4258::HII_b31::RA184.80283_DEC47.19433::ICRS2000
b18,184.68275,47.29047,16.35,8.91,8.68,0.05,B11,NGC4258::HII_b18::RA184.68275_DEC47.29047::ICRS2000
b32,184.82475,47.18944,16.36,8.97,8.74,0.05,B11,NGC4258::HII_b32::RA184.82475_DEC47.18944::ICRS2000
b25,184.84950,47.21756,16.57,8.77,8.54,0.05,B11,NGC4258::HII_b25::RA184.84950_DEC47.21756::ICRS2000
b24,184.74621,47.22606,16.73,8.39,8.23,0.05,B11,NGC4258::HII_b24::RA184.74621_DEC47.22606::ICRS2000
b26,184.85362,47.21656,17.24,8.78,8.56,0.05,B11,NGC4258::HII_b26::RA184.85362_DEC47.21656::ICRS2000
b33,184.83825,47.18361,17.33,8.54,8.34,0.05,B11,NGC4258::HII_b33::RA184.83825_DEC47.18361::ICRS2000
n11,184.85562,47.21184,17.49,8.84,8.61,0.08,new,NGC4258::HII_n11::RA184.85562_DEC47.21184::ICRS2000
b34,184.83187,47.18072,17.61,8.67,8.45,0.03,B11-new,NGC4258::HII_b34::RA184.83187_DEC47.18072::ICRS2000
b22,184.73733,47.22869,17.79,8.94,8.71,0.05,B11,NGC4258::HII_b22::RA184.73733_DEC47.22869::ICRS2000
n29,184.83392,47.17906,17.85,8.81,8.58,0.08,new,NGC4258::HII_n29::RA184.83392_DEC47.17906::ICRS2000
n1,184.64927,47.32124,18.94,8.73,8.51,0.06,new,NGC4258::HII_n1::RA184.64927_DEC47.32124::ICRS2000
b35,184.79721,47.17956,19.71,8.74,8.52,0.05,B11,NGC4258::HII_b35::RA184.79721_DEC47.17956::ICRS2000
b36,184.83121,47.16556,19.97,8.37,8.22,0.05,B11,NGC4258::HII_b36::RA184.83121_DEC47.16556::ICRS2000
n26,184.63013,47.33662,21.15,8.89,8.66,0.08,new,NGC4258::HII_n26::RA184.63013_DEC47.33662::ICRS2000
b30,184.75992,47.19464,21.55,8.41,8.24,0.04,B11-new,NGC4258::HII_b30::RA184.75992_DEC47.19464::ICRS2000
n7,184.61146,47.35218,23.36,8.94,8.71,0.06,new,NGC4258::HII_n7::RA184.61146_DEC47.35218::ICRS2000
n5,184.62029,47.32604,25.13,8.71,8.49,0.08,new,NGC4258::HII_n5::RA184.62029_DEC47.32604::ICRS2000
